Entidad,ID CTT,SNPA01,SNPA02,SNPA03,SNPA04,SNPA05,SNPA06,SNPA07,SNPA08,SNPA09,SNPA10,SNPA11,SNPA12,MI01,MI02,MI03,MI04,MI05,MI06,MI07,MI08,MI09,MI10,FEM01,FEM02,FEM03,FEM04,FEM05,FEM06,FEM07,FEM08
YUCATAN,3330,0.756284704,0.78206055,0.755219356,0.72660128,0.744968392,0.760941234,0.738546703,0.725576342,0.655712006,0.626905905,0.76187299,0.590006507,0.741094335,0.713414878,0.722142623,0.654569441,0.762017444,0.655851699,0.731649408,0.709201902,0.705653372,0.730034976,0.630145862,0.609390599,0.636253195,0.559575212,0.632505008,0.567250212,0.535411362,0.528205811
YUCATAN,3331,0.705144618,0.719748523,0.700616811,0.694615072,0.695144699,0.70386501,0.722320282,0.72428641,0.65658558,0.667993123,0.742105575,0.644596549,0.94121997,0.798105635,0.867890925,0.76202173,0.875711325,0.744704731,0.876619252,0.852207163,0.905849002,0.871451474,0.644176795,0.573502779,0.624899562,0.607018503,0.58725224,0.571465461,0.572043367,0.503594078
YUCATAN,3332,0.820175992,0.845036151,0.835236604,0.817524564,0.849739708,0.856155632,0.824004936,0.839756921,0.758876703,0.759631364,0.834439023,0.665913684,0.902310759,0.819285222,0.867075145,0.812910558,0.900536094,0.657711006,0.875450002,0.84115446,0.811621798,0.86816503,0.753864421,0.717395979,0.746392059,0.697460576,0.730040979,0.683750769,0.687604149,0.587963732
YUCATAN,3333,0.534089558,0.592704164,0.580362256,0.487590637,0.513146195,0.530379212,0.588295973,0.537515865,0.422663622,0.523165102,0.58353581,0.495103264,0.5554314,0.55872006,0.559630171,0.580766428,0.595555067,0.573912089,0.621181394,0.610058488,0.574529352,0.629859589,0.563447519,0.572996051,0.581217215,0.529069761,0.551572497,0.558591868,0.45568665,0.500232614
YUCATAN,3334,0.890762975,0.919242879,0.909831592,0.897922035,0.893164494,0.906217571,0.9053625,0.882476582,0.922188739,0.792622297,0.915119873,0.665022475,0.99743577,0.974578296,0.993056447,0.978684971,0.991713571,0.85576337,0.992124766,0.830429462,0.970452883,0.978168117,0.796460643,0.815410126,0.816128465,0.754058864,0.813772877,0.772808919,0.755767839,0.666542534
YUCATAN,3335,0.693179252,0.691420405,0.662481788,0.667693762,0.671671571,0.675990246,0.674284961,0.710690557,0.646181276,0.625765013,0.72760944,0.550386484,0.663964054,0.556127768,0.626161955,0.612334828,0.637253964,0.561648439,0.673756055,0.664216077,0.572365203,0.682281519,0.645648762,0.624212581,0.637649175,0.570185519,0.61701455,0.577995438,0.516860013,0.518749548
YUCATAN,3336,0.83868342,0.848909832,0.823285212,0.784147612,0.825269212,0.823590592,0.8260158,0.825039657,0.81725409,0.764005633,0.850520238,0.644295491,0.93186565,0.83859069,0.84099867,0.82988046,0.849834629,0.708476134,0.877760231,0.831152998,0.908119531,0.878005271,0.815318414,0.805599044,0.818821976,0.784509467,0.800277778,0.76221084,0.810897478,0.717680466
YUCATAN,3337,0.639363861,0.691206112,0.684663217,0.611899065,0.612749513,0.611775303,0.68082411,0.677017337,0.503602656,0.662963318,0.664596902,0.599691805,0.631077623,0.679479584,0.6888772,0.690829847,0.692934844,0.607419883,0.701070531,0.472874675,0.666130366,0.557084038,0.692951406,0.684705617,0.697552521,0.634758735,0.69190278,0.645016678,0.581315797,0.620892752
YUCATAN,3338,0.390378717,0.485711909,0.4818607,0.363790615,0.373986369,0.373025906,0.503230502,0.480502341,0.173908247,0.489103303,0.460811731,0.491852839,0.522965932,0.620735291,0.576716816,0.466640777,0.628698348,0.53548359,0.606388947,0.596431964,0.560505761,0.637633722,0.496018605,0.547855891,0.553650065,0.47275588,0.553356192,0.543759459,0.34590482,0.423273013
YUCATAN,3339,0.466119467,0.514740606,0.492073231,0.503973873,0.456270091,0.491473198,0.531439482,0.50981695,0.411545427,0.488402627,0.547824213,0.435721001,0.557118374,0.480096493,0.601381291,0.590995756,0.54517816,0.590386796,0.650196122,0.648509738,0.431514618,0.63709001,0.508458556,0.51753502,0.521074142,0.448549383,0.50858907,0.512524671,0.350388789,0.426101833
