,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
88,B,B,B,D,C,B,C,B,B,C,C,B,C,A,C,C,A,A,B,A,B,C,A,D,C,A,B,C,B,C,C,A,C,B,C,C,B,A,C,B,B,C,B,B,C,B,C,C,C,D,C,C,C,C,C,B,D,D,D,D
89,C,B,B,A,A,C,D,B,C,D,B,D,A,B,D,B,C,B,B,C,C,C,C,B,B,B,D,C,C,D,D,D,B,B,D,C,D,B,A,A,B,C,C,C,C,B,C,C,C,C,C,B,B,D,C,C,D,D,D,D
90,C,B,B,C,B,B,B,B,B,C,C,C,C,B,C,C,A,A,B,A,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,D
91,A,C,A,D,C,B,B,B,A,B,C,B,C,A,B,C,A,A,A,A,C,B,D,D,D,D,B,B,C,C,C,A,B,A,B,C,A,A,A,A,C,C,D,C,C,D,C,C,D,C,C,C,C,D,C,C,D,D,D,D
92,B,B,C,A,A,C,D,C,B,D,B,D,B,B,D,C,B,A,D,B,D,C,D,D,B,D,D,D,B,D,B,D,D,A,D,C,D,B,D,B,A,B,A,C,C,B,B,B,C,B,B,C,B,C,C,B,C,D,D,D
93,C,A,D,C,B,D,D,A,C,D,B,D,C,C,D,B,A,A,A,B,D,B,D,D,C,D,D,B,D,B,B,B,B,A,B,B,A,A,A,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
94,B,C,B,C,C,D,D,B,B,D,C,D,B,B,D,C,A,B,B,B,B,B,A,B,C,D,D,C,A,C,B,B,B,A,B,C,A,C,C,A,C,C,B,B,B,C,D,C,C,C,B,C,B,B,C,C,D,C,B,C
95,D,C,C,B,A,B,C,B,B,D,C,B,B,A,C,B,B,A,A,A,D,C,C,B,A,B,C,B,B,D,C,C,C,B,C,C,B,A,A,A,A,B,B,C,C,B,B,C,B,D,D,D,D,D,D,C,D,D,D,D
96,B,B,C,B,C,C,B,B,C,B,B,C,B,B,C,C,B,A,A,A,A,A,C,C,C,C,C,A,B,A,A,B,A,B,A,A,D,A,A,A,B,D,A,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D
98,B,B,B,B,B,B,C,C,B,D,B,B,B,B,C,B,A,A,B,B,B,B,B,C,C,B,C,C,B,C,C,C,B,A,B,A,A,B,B,A,D,D,D,D,C,,C,C,D,C,D,C,D,D,C,C,D,D,D,C
