,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
458,D,C,C,B,A,B,D,D,B,D,B,D,B,B,D,D,B,A,C,D,D,D,D,A,B,A,D,D,B,D,A,D,B,C,D,D,C,A,D,D,B,C,B,C,C,C,D,D,C,D,C,B,C,B,C,C,D,D,D,C
459,C,A,D,D,C,D,B,A,B,D,C,D,B,A,C,D,A,B,A,A,C,A,D,C,C,D,B,B,A,B,D,D,D,A,D,D,D,C,A,A,A,D,A,C,C,B,B,D,D,D,D,D,D,D,B,B,D,C,D,D
460,B,C,D,B,A,C,D,D,B,D,A,D,A,A,C,A,A,A,A,A,C,C,D,A,B,B,D,D,B,A,B,D,B,B,B,A,A,A,A,B,D,D,D,D,B,B,B,C,D,D,B,C,B,C,C,B,D,D,D,D
461,C,B,D,B,C,C,C,B,B,B,C,D,C,B,B,A,A,A,A,A,D,C,D,C,A,A,C,C,B,B,C,C,C,C,C,A,A,A,A,A,B,B,D,D,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D
462,B,B,B,B,C,D,C,B,C,C,B,C,B,A,B,B,B,B,B,C,D,C,B,C,D,D,C,D,D,B,C,D,C,A,C,D,B,B,B,B,B,D,B,B,B,C,B,D,C,B,B,B,B,B,B,D,D,D,C,C
463,B,B,B,C,B,C,B,A,C,C,B,C,C,A,B,B,A,C,C,A,B,B,A,B,B,C,A,C,C,C,B,B,C,A,A,B,D,C,C,A,B,B,C,B,B,C,B,C,C,C,C,C,D,D,C,B,C,D,D,D
464,D,A,C,B,B,D,C,D,C,D,C,C,A,A,C,D,B,A,B,B,D,C,D,D,C,D,B,C,D,D,B,D,C,A,C,C,D,A,B,A,C,D,C,B,B,C,C,C,D,C,B,B,C,D,B,C,D,D,B,C
465,C,D,B,A,A,C,D,D,B,D,B,D,A,C,D,C,A,A,A,A,B,D,C,B,A,B,D,D,B,D,B,D,B,C,D,D,B,A,B,B,A,C,A,C,C,A,D,D,C,C,B,C,D,C,C,C,D,D,C,C
466,C,C,B,A,A,B,C,C,B,D,A,D,A,A,D,C,A,A,A,B,B,B,D,A,A,B,B,B,C,C,A,D,A,A,C,C,B,A,A,C,B,D,B,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D
467,C,A,D,B,A,D,C,A,D,C,A,C,B,B,B,B,A,A,A,A,B,B,D,B,B,D,B,B,C,C,A,B,B,B,B,A,A,A,A,A,A,C,A,C,C,A,B,B,B,C,D,B,C,C,C,C,D,D,D,D
468,C,B,D,A,A,B,D,C,A,C,A,B,B,C,D,B,B,A,C,B,D,B,D,B,A,B,D,C,B,A,A,A,B,B,D,B,B,A,C,B,B,D,C,D,D,C,C,C,D,C,C,B,D,D,C,B,D,D,D,D
469,C,A,D,B,B,B,C,A,B,D,C,C,C,D,C,B,C,A,C,C,C,A,C,B,B,B,C,B,B,D,B,B,B,B,D,B,C,A,D,D,B,B,B,B,B,C,C,B,C,D,B,A,C,B,D,B,C,C,B,B
470,C,A,B,A,A,B,A,B,C,B,A,B,B,A,B,C,A,A,A,A,B,C,A,A,A,A,B,B,B,A,A,B,A,A,B,B,A,A,A,A,B,B,C,C,C,D,C,C,D,C,D,C,D,C,C,C,D,D,D,D
471,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,D,A,A,D,D,D,D
472,B,A,B,B,A,B,B,A,B,C,B,C,C,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,B,A,A,B,A,A,B,A,A,A,B,A,A,A,B,B,B,B,A,C,C,C,B,C,C,C,C,B,A,C,C,C
473,D,A,B,D,B,B,A,A,A,D,D,B,D,A,D,A,A,A,A,A,A,A,A,D,D,A,A,A,A,A,D,A,D,A,A,A,A,A,A,A,A,A,A,D,D,D,A,A,D,A,D,A,A,A,A,A,D,D,D,A
474,D,B,D,D,D,D,D,D,D,C,D,D,C,D,D,D,C,A,A,C,D,A,D,A,D,C,D,D,D,D,D,D,D,D,D,D,D,A,A,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
475,C,A,C,B,A,C,C,A,C,C,A,B,B,B,C,C,C,C,B,C,C,A,C,B,A,C,C,B,C,C,A,B,B,B,B,C,C,B,B,C,B,B,B,C,C,C,A,B,C,C,C,C,C,B,B,B,C,C,D,C
476,C,A,C,A,A,C,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
477,C,B,B,C,B,D,A,C,B,B,C,C,C,A,B,A,B,A,A,B,B,B,B,C,D,D,A,B,C,D,D,A,C,A,B,B,B,A,A,B,D,D,A,D,D,D,D,D,D,D,D,C,D,D,C,C,C,D,D,D
478,B,A,B,C,C,D,B,C,C,C,C,B,B,A,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,C,A,A,A,D,A,B,B,B,A,B,D,D,D,A,A,D,D,C,A,D,D,A,A,D,D,D,D
479,D,A,D,A,A,C,A,A,C,C,A,A,A,A,C,A,D,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,A,A,A,B,D,A,D,D,A,D,D,C,D,C,C,D,B,D,D,C,D,D,D
480,D,D,C,A,B,D,D,D,C,C,B,C,A,B,A,A,C,A,A,D,D,D,D,A,A,D,D,D,C,A,A,C,A,A,A,A,D,A,A,B,C,D,C,D,D,C,D,D,D,D,D,D,D,D,D,D,A,D,D,D
481,D,A,D,D,C,C,B,A,C,C,C,B,C,B,B,A,C,A,A,D,C,A,C,B,C,B,B,A,C,B,B,B,B,B,B,B,B,A,A,D,A,D,B,B,B,C,D,D,D,C,B,B,B,C,C,D,D,D,D,B
482,D,A,C,A,D,C,C,A,C,D,A,A,C,C,C,A,D,A,C,D,D,A,A,A,A,B,B,A,B,D,A,A,A,B,D,A,D,A,B,D,A,A,B,D,D,D,B,D,B,B,B,B,B,B,B,B,B,D,D,B
483,D,B,C,D,C,C,C,B,D,C,C,C,C,C,C,C,A,B,C,C,D,A,D,B,B,C,B,A,B,C,B,B,B,B,B,B,B,B,B,B,A,D,B,B,B,C,B,D,C,D,C,D,C,D,D,D,D,D,D,D
484,C,B,D,B,B,D,D,B,D,D,B,D,D,B,C,D,A,A,A,C,D,B,D,D,B,D,D,D,D,D,B,D,C,A,D,D,C,B,A,A,C,C,B,D,C,B,D,C,A,D,B,C,A,D,A,D,C,D,D,B
485,C,B,C,C,B,C,B,B,D,C,B,D,C,B,C,D,A,A,B,B,D,B,D,D,C,D,C,D,D,D,B,D,B,C,D,D,D,A,D,,B,B,B,C,D,D,C,B,D,C,D,C,D,B,C,B,D,D,D,D
486,C,B,C,D,D,D,D,B,D,C,A,C,B,B,C,D,A,A,A,C,D,B,B,C,A,A,A,A,D,C,A,B,B,B,B,C,D,A,C,C,A,C,C,B,C,D,C,C,C,B,D,A,C,C,B,B,C,D,D,C
487,B,A,B,B,C,B,B,B,C,C,B,B,C,A,A,A,A,A,A,A,B,A,B,B,A,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,C,C,C,C,D,C,D,D,D,C,C,C,C,D,C,C,D,D,D,D
488,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,C,D,D,D,D,D,D,B,D,A,A,A,A,D,D,D,D,C,D,D,D,D,D,D,B,D,A,A,A,A,A,A,A,A
489,A,B,,C,B,A,D,C,B,B,A,,C,D,C,,C,,B,D,B,C,B,B,A,A,B,B,C,C,B,A,,,A,A,B,D,C,B,A,B,C,C,B,B,D,D,D,D,B,B,B,,,,,D,,B
490,D,A,B,C,D,D,C,C,C,D,D,C,C,A,B,B,C,A,A,B,B,A,D,D,C,C,C,B,B,D,B,C,B,A,C,D,D,D,C,D,D,A,B,C,D,C,D,C,D,B,C,B,D,C,D,B,C,B,A,D
491,C,B,B,C,B,C,C,C,B,C,B,C,C,B,C,B,B,A,A,C,B,B,B,B,B,B,C,B,C,C,B,B,C,C,C,B,C,D,D,C,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,C,D,D,C
492,C,B,B,B,A,B,B,A,B,B,A,C,B,A,B,A,A,A,A,A,C,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,A,A,A,A,B,C,B,C,C,B,C,D,C,C,C,C,B,D,B,D,D,D,D,D
493,C,A,C,D,A,C,C,B,B,B,A,B,C,A,B,B,A,A,A,A,B,B,D,A,A,A,B,B,B,C,B,B,B,A,B,B,A,A,A,A,B,D,C,D,D,D,D,D,D,C,D,C,D,D,B,D,D,D,D,D
494,C,B,B,B,A,B,C,A,C,B,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,C,B,A,A,A,A,B,A,A,A,A,A,B,B,B,C,B,B,A,B,B,A,A,B,B,B,C,A,D,D,D,D
495,C,B,D,C,B,D,B,B,C,B,B,B,C,A,A,C,A,A,A,B,B,C,C,B,B,C,B,B,A,B,B,B,B,A,B,B,A,A,A,B,B,A,C,A,B,C,A,A,D,B,B,B,B,B,B,A,D,D,D,C
496,D,B,D,C,A,D,C,B,D,D,A,A,A,A,D,C,A,A,A,B,B,B,B,A,B,B,B,B,A,A,B,B,B,B,B,B,D,A,A,A,B,A,B,B,B,B,A,A,B,A,B,B,B,A,A,A,D,D,D,A
497,B,C,B,B,B,B,C,B,B,B,C,D,C,D,C,D,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,C,C,C,D,D,D,D
498,A,C,C,B,B,C,C,B,B,C,A,C,B,C,C,C,B,A,A,A,C,B,B,C,B,A,C,D,B,C,B,B,C,C,C,B,B,B,B,B,B,B,A,A,A,A,B,B,A,B,B,,C,C,B,B,C,D,D,D
499,D,A,B,B,C,C,B,B,C,C,C,C,D,C,D,B,A,A,B,C,D,B,A,B,C,B,B,A,C,D,C,B,D,C,D,B,A,A,B,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,C,D,D,C
500,D,A,C,D,A,C,C,B,C,C,B,C,C,B,C,B,A,A,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,B,B
501,B,A,C,C,C,D,B,A,B,C,C,D,D,C,C,B,C,A,A,D,B,A,D,D,D,C,B,A,B,C,C,C,D,B,B,B,D,A,A,D,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,D,D,C
502,C,B,A,B,A,C,B,B,B,A,B,B,B,*,B,B,A,A,A,A,B,A,B,A,A,B,A,A,B,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,A,A,A,A,B,B,B,B,B,C,B,B,D,D,D,D
503,D,B,A,C,C,B,C,C,C,C,C,B,B,B,C,A,C,A,B,B,C,B,C,A,B,A,C,B,C,B,B,B,A,B,C,B,D,A,A,A,B,D,B,B,C,C,C,D,B,C,C,C,C,D,C,D,D,D,C,C
504,B,A,D,B,A,B,B,C,C,C,B,B,B,A,C,B,B,A,C,C,D,A,D,A,A,C,A,C,C,C,A,A,A,A,A,A,B,A,C,A,A,B,A,C,D,A,C,D,D,D,C,D,D,D,C,C,C,D,C,C
505,C,B,B,C,A,B,C,A,B,B,A,B,A,A,B,A,A,B,C,D,C,B,B,C,C,B,B,B,C,C,B,B,B,A,B,B,B,B,D,D,D,B,D,D,D,D,B,D,D,B,D,D,D,D,B,D,D,D,D,D
506,B,C,A,A,A,C,C,C,B,B,A,C,A,A,B,B,B,D,A,C,A,A,A,B,A,C,A,B,A,B,A,A,B,A,B,C,B,C,B,B,A,C,B,A,B,A,A,C,B,B,C,D,C,C,C,C,D,D,D,C
507,D,B,C,A,A,D,B,B,D,C,A,B,A,C,B,A,C,B,A,C,D,C,B,A,B,D,B,B,D,D,B,B,A,B,C,C,C,A,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
508,C,B,D,B,B,D,C,A,C,D,C,D,B,B,D,D,A,A,B,C,C,B,D,C,B,D,C,B,C,C,B,C,D,B,C,B,A,A,B,C,B,C,C,C,B,B,C,B,D,D,B,C,C,D,C,B,D,D,D,C
509,B,B,C,D,D,D,B,C,C,C,D,D,D,B,C,C,A,B,C,B,B,B,C,C,C,D,B,B,C,B,D,C,D,B,B,B,A,B,B,A,C,D,C,B,B,B,D,C,D,D,B,C,D,D,D,C,D,D,D,D
510,C,A,D,B,B,C,B,A,C,B,A,B,C,A,B,A,C,A,C,C,D,A,D,D,C,B,B,A,C,B,A,B,C,B,B,A,C,A,B,B,A,D,A,B,C,C,C,D,C,B,C,C,D,C,C,D,D,D,D,D
511,C,A,C,B,A,D,B,B,C,B,B,B,B,A,B,A,B,A,B,A,B,B,C,B,A,C,A,A,C,A,B,A,B,A,A,A,C,A,B,A,B,A,B,B,B,B,C,B,C,C,C,B,C,D,C,C,B,D,C,D
512,C,A,C,C,A,C,A,A,C,A,A,A,A,A,A,A,C,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,B
513,D,B,C,C,B,C,C,C,C,C,D,D,D,B,B,B,B,A,C,B,A,B,B,D,D,C,B,B,B,B,D,D,D,A,B,B,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,D,,,,C,C,C
514,A,B,C,D,B,C,C,C,B,B,C,B,C,A,C,B,A,D,B,A,A,B,A,D,B,D,D,B,B,A,C,D,C,A,C,B,A,D,B,A,A,C,B,D,D,C,C,C,C,C,C,C,C,D,C,C,D,D,D,D
515,B,C,C,A,A,B,A,A,A,C,A,C,A,A,B,A,A,A,A,A,B,A,C,C,A,A,A,A,A,C,A,B,A,A,B,A,A,A,A,A,A,D,B,B,B,B,B,B,D,B,B,B,B,B,B,B,D,D,D,D
516,D,C,D,D,D,D,B,C,B,C,B,B,B,C,C,B,A,A,A,A,B,B,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,C,B,B,C,A,B,D,B,A,B,B,C,B,A,D,D,D,B
517,D,A,A,A,D,A,A,D,A,B,C,A,A,A,B,C,A,B,D,A,B,D,A,B,A,C,A,D,B,A,C,A,B,D,A,C,A,B,A,B,D,A,C,A,D,B,D,A,C,A,D,A,C,A,D,B,C,A,D,A
518,D,A,C,C,B,C,B,A,C,C,B,B,D,B,B,B,A,A,A,B,D,C,D,D,C,C,D,D,C,C,B,A,D,B,C,D,C,A,A,B,B,D,B,A,A,B,A,A,B,C,A,A,A,B,A,B,A,D,C,B
519,B,B,D,C,A,C,B,B,C,D,D,C,D,C,D,D,A,A,A,A,A,A,C,C,C,A,A,B,C,B,D,D,D,B,C,B,C,C,C,A,B,C,D,D,D,B,B,C,C,D,D,D,D,B,D,D,D,D,D,D
520,D,B,D,B,A,D,B,B,C,B,B,C,B,A,C,B,A,A,A,A,D,A,D,A,A,C,A,B,D,B,A,A,A,A,B,A,A,A,A,A,B,B,A,D,D,B,A,B,C,B,C,A,D,C,B,B,D,D,D,D
521,D,A,B,B,A,C,B,A,B,C,A,A,A,A,A,A,A,A,A,A,A,A,D,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,D,A,D,D,A,C,D,C,C,D,C,D,D,C,C,D,D,D,D
522,D,A,C,B,C,C,A,A,B,C,B,C,C,A,B,A,A,A,A,A,D,A,C,B,C,C,A,A,B,C,B,C,C,A,B,A,A,A,A,A,D,A,C,B,C,C,A,A,B,C,B,C,C,A,B,A,D,D,D,D
523,B,A,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,B,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
524,B,A,D,C,B,D,A,B,C,C,B,C,C,A,B,A,A,C,A,A,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,A,B,C,A,B,D,C,A,A,B,C,C,C,C,C,B,B
525,C,B,A,B,A,C,B,A,B,A,C,B,B,A,B,C,A,A,A,A,C,C,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,B,B,B,B,B,B,B,C,C,B,B,B,B,B,A,A,C,C,C,C
526,B,A,C,A,B,C,D,A,B,D,B,C,A,A,D,C,A,A,C,A,B,B,B,A,A,B,C,A,C,D,A,D,A,A,B,A,A,A,A,A,,C,D,B,D,D,B,D,D,D,D,D,B,D,D,D,D,D,D,D
527,B,C,C,A,C,C,C,D,C,C,C,B,A,B,C,B,A,D,D,A,A,C,C,B,C,C,D,D,D,C,C,A,B,A,B,B,A,D,D,A,B,B,B,C,C,C,B,C,C,B,C,C,C,C,B,C,D,D,D,C
528,D,A,C,D,B,D,B,A,D,C,A,B,D,A,B,A,C,D,B,A,D,A,D,D,D,D,B,A,D,D,C,B,D,A,B,A,D,B,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
529,D,C,C,B,C,B,D,B,B,C,B,D,B,B,D,A,A,A,A,A,D,B,D,B,C,A,C,B,A,C,A,C,A,B,B,B,A,A,A,B,B,D,B,A,A,C,D,D,C,D,C,D,D,D,D,C,D,D,D,D
530,C,A,D,C,C,C,B,A,C,D,C,D,D,A,D,A,A,A,B,B,C,A,D,C,C,C,B,A,C,C,D,D,C,A,D,A,C,A,C,B,B,D,B,C,C,C,B,B,C,B,B,A,C,D,B,D,C,D,D,C
531,D,B,D,B,A,D,B,B,C,C,C,C,B,C,D,C,A,A,A,A,D,A,D,B,B,D,B,B,C,D,C,B,A,A,D,D,A,A,A,A,A,C,A,C,C,A,C,C,C,D,D,C,D,B,D,D,D,D,D,D
532,D,A,C,D,B,C,C,A,D,C,B,D,D,B,C,B,D,C,B,C,C,B,D,C,C,C,C,B,C,C,B,C,C,B,D,C,C,C,B,C,B,C,C,D,C,C,D,D,D,C,C,D,D,D,D,D,C,C,D,C
538,D,B,C,A,A,D,B,B,C,D,A,A,A,B,C,A,A,A,A,B,D,A,C,A,A,B,B,C,C,C,A,B,A,B,B,B,A,A,B,B,C,C,B,A,C,C,B,C,C,B,A,B,B,A,C,B,D,D,D,D
539,C,C,B,D,C,C,C,C,B,C,A,C,C,A,B,A,A,A,A,B,B,A,B,D,C,B,B,A,A,A,A,A,B,A,A,B,A,A,A,B,A,B,B,B,C,B,A,A,C,B,C,C,C,C,B,B,D,D,D,D
540,D,B,D,D,A,D,B,B,D,B,B,B,B,C,C,B,A,A,B,B,B,B,D,A,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B,A,B,D,D,B,B,B,B,B,B,B,B,B,C,B,C,C,C,D
541,D,A,D,D,C,D,B,A,C,C,C,C,C,B,C,A,C,D,D,C,D,B,D,D,D,C,D,B,C,C,C,C,C,C,B,C,D,C,D,B,A,D,B,A,D,C,C,C,C,C,C,C,C,D,D,D,D,D,D,C
542,B,A,C,B,A,C,C,A,C,D,A,B,A,B,C,A,A,B,B,B,A,A,A,A,A,B,C,A,B,C,A,A,A,A,B,A,A,B,C,B,B,A,B,C,C,C,C,D,C,C,C,C,D,C,B,D,B,C,C,C
543,B,D,B,B,C,B,B,D,B,D,C,D,B,D,B,D,A,A,B,A,A,B,A,D,B,B,C,B,B,D,B,D,C,D,B,D,B,D,A,A,B,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
544,D,C,D,D,D,D,C,A,D,B,D,D,D,A,D,B,C,C,D,D,D,B,D,D,D,C,B,B,D,D,D,D,D,B,A,B,D,B,D,B,B,C,D,D,B,D,A,C,D,C,D,D,B,A,A,B,A,D,D,C
545,D,C,C,A,B,B,C,B,B,C,B,B,A,B,C,B,B,B,A,B,B,B,D,A,A,B,C,C,B,B,A,B,A,B,C,B,A,A,A,A,B,D,B,D,D,C,B,D,D,D,D,D,D,D,D,C,D,D,D,D
546,D,D,A,D,C,D,A,D,D,D,A,C,A,A,D,D,A,A,A,A,D,D,A,D,C,D,A,D,D,D,A,C,A,A,D,D,A,A,A,A,D,D,A,D,C,D,A,D,D,D,A,C,A,A,D,D,A,A,A,A
547,C,B,B,A,A,B,C,A,C,B,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,A,B,A,A,B,B,A,A,A,C,C,D,C,D,D,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D
548,C,B,B,C,A,B,B,A,B,B,B,B,B,B,B,B,A,A,A,A,C,B,B,B,C,C,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,C,B,C,D,C,C,D,C,C,C,C,C,D,C,D,D,D,D,C
549,C,B,D,C,D,B,C,C,C,D,C,D,D,C,D,B,A,A,B,C,B,C,B,C,C,B,C,C,D,D,C,D,C,B,C,B,B,A,C,B,B,C,C,B,B,B,B,B,C,D,C,D,C,B,B,B,D,D,D,D
550,D,C,C,C,D,C,C,B,C,B,A,B,B,B,,C,C,B,C,B,A,B,A,B,B,B,A,B,B,B,C,B,,A,A,B,A,A,A,B,B,A,C,C,B,B,C,B,C,B,B,C,A,C,A,C,A,B,B,A
551,C,A,D,C,B,B,B,A,C,C,B,C,A,A,B,B,A,A,A,A,B,A,C,C,A,A,B,B,A,B,B,C,C,A,C,B,A,A,A,A,B,D,B,B,C,C,B,C,D,B,B,C,C,B,B,C,D,D,D,D
552,C,A,C,C,C,C,C,B,B,B,C,C,D,B,A,B,A,B,C,B,C,A,B,C,A,B,B,A,B,C,B,C,B,A,A,B,A,A,C,B,A,C,A,B,B,C,A,B,B,B,A,B,C,A,B,B,B,C,C,B
553,C,B,D,C,B,D,B,A,C,C,C,B,D,B,B,B,A,C,C,B,D,A,C,C,B,B,B,A,C,B,D,B,C,A,A,A,A,C,B,B,C,C,C,A,B,C,A,C,C,C,C,A,D,D,A,A,D,D,D,C
554,B,B,C,C,D,D,C,C,D,D,C,D,D,B,C,B,A,C,B,A,C,C,A,D,D,B,B,B,B,B,C,D,D,A,B,B,A,C,D,A,B,B,B,D,D,B,A,B,C,D,C,C,D,D,C,C,D,D,B,B
555,C,B,B,B,B,B,D,B,B,D,A,D,B,*,D,D,A,B,A,A,A,A,B,A,A,A,D,A,A,D,A,B,A,A,D,D,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
556,D,A,C,D,C,A,B,B,C,D,C,B,D,A,B,A,D,A,A,B,D,B,D,B,C,B,C,C,D,C,C,B,D,C,B,A,*,A,A,A,D,D,D,D,D,D,C,B,D,D,D,D,D,C,B,C,D,D,D,D
557,C,B,C,C,D,C,B,A,B,D,D,C,C,A,B,B,C,C,A,B,C,B,B,C,C,A,B,B,C,B,B,B,C,A,B,B,D,B,C,C,A,B,C,C,B,A,A,C,B,C,C,B,B,A,B,C,D,D,D,D
558,D,C,D,B,A,B,B,B,C,C,C,C,A,C,C,C,A,A,A,A,D,C,B,A,A,A,A,B,C,C,C,C,C,A,C,C,A,A,A,A,B,C,C,C,C,C,B,B,C,C,C,C,C,C,C,B,C,C,C,C
563,D,C,C,C,B,C,B,B,C,C,D,C,B,B,B,B,A,A,A,C,D,B,C,D,D,,B,B,B,C,C,B,B,A,B,A,A,A,A,A,C,C,B,B,B,B,A,B,C,B,B,B,B,C,B,B,D,D,D,D
564,D,A,D,D,D,A,C,A,A,B,D,B,D,A,B,A,A,A,A,B,C,C,B,D,D,A,B,A,A,A,D,B,D,C,A,A,A,A,A,A,C,D,C,C,C,D,D,C,D,D,C,C,C,D,D,D,D,D,D,D
565,C,B,D,B,B,B,B,C,C,C,B,C,A,B,B,C,A,A,A,A,B,B,C,B,B,B,A,B,C,A,A,B,B,A,B,A,A,A,A,A,B,C,B,C,C,C,C,C,C,C,C,B,C,C,C,C,D,D,D,D
566,B,C,C,B,C,B,B,C,D,D,B,D,B,B,D,D,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,A,C,A,C,A,C,D,D,D,B,C,D,C,C,C,C,C,D,D,D,D,D,D,D
567,D,B,D,D,D,D,B,B,D,C,D,D,D,A,B,B,A,B,C,A,D,B,D,D,D,D,C,C,D,D,D,D,D,A,B,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
568,D,B,D,D,D,D,B,A,D,B,D,B,D,B,B,A,C,C,B,A,D,B,D,D,D,D,C,B,C,B,D,C,D,B,B,B,C,C,C,B,C,D,C,D,D,C,C,C,C,D,D,D,D,C,C,B,D,D,D,D
569,C,B,C,C,A,D,B,A,D,D,B,B,B,B,C,A,A,A,A,A,B,A,D,A,A,D,B,A,D,C,B,B,A,B,C,A,A,A,A,A,A,D,A,C,C,C,B,D,B,D,B,C,C,C,D,D,C,D,D,D
570,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D
571,C,A,D,B,C,D,C,C,B,B,C,B,A,A,B,A,A,A,A,B,B,A,D,B,B,D,B,A,A,A,B,A,B,A,B,B,A,A,A,B,B,A,B,C,C,C,A,A,D,D,C,D,D,D,B,B,D,D,D,C
572,B,C,C,A,D,D,D,A,A,B,C,C,D,A,A,B,C,D,C,B,D,B,B,C,C,D,A,B,C,A,C,A,C,B,A,C,B,A,D,B,C,A,A,D,A,C,A,D,A,A,C,D,B,A,C,D,D,B,C,A
573,D,A,D,D,C,D,C,A,D,C,C,C,D,A,C,A,B,A,A,B,D,A,D,C,B,D,B,A,C,C,C,D,D,A,C,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B
574,C,A,C,C,C,B,B,B,B,B,C,C,C,A,B,C,A,B,B,A,C,C,B,B,B,B,C,C,B,C,C,C,C,A,B,A,A,B,B,A,C,,,C,C,B,A,,B,C,B,C,B,C,B,C,C,D,C,D
575,D,C,D,D,B,D,D,D,B,C,D,B,C,D,D,A,A,A,B,A,B,B,D,C,C,C,C,B,D,D,D,D,D,D,D,A,B,C,C,A,A,D,A,B,B,A,B,C,D,B,B,B,B,C,B,D,D,D,D,D
576,D,B,D,B,A,B,C,B,C,B,C,C,C,B,B,B,A,A,A,B,D,D,D,D,A,A,D,D,D,B,D,D,D,C,B,D,D,A,C,B,A,C,A,B,C,A,B,C,B,B,B,B,B,B,B,B,B,C,C,B
577,A,A,D,D,A,B,B,C,D,C,C,C,D,B,C,C,A,C,C,D,A,B,D,D,A,A,A,B,B,C,C,B,D,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
578,C,B,C,C,B,D,B,B,B,D,C,D,C,B,C,B,A,B,B,B,B,A,B,B,C,A,B,A,B,C,C,D,D,A,B,C,A,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
