"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
3,"Bloque","C",3,1250,20,0,0
3,"Bloque","C",3,1300,20,0,0
3,"Bloque","C",3,1350,19,1,0.05
3,"Bloque","C",3,1400,19,1,0.05
3,"Bloque","C",3,1450,13,7,0.35
3,"Bloque","C",3,1500,12,8,0.4
3,"Bloque","C",3,1550,10,10,0.5
3,"Bloque","C",3,1600,2,18,0.9
3,"Bloque","C",4,1200,18,2,0.1
3,"Bloque","C",4,1250,18,2,0.1
3,"Bloque","C",4,1300,16,4,0.2
3,"Bloque","C",4,1350,18,2,0.1
3,"Bloque","C",4,1400,14,6,0.3
3,"Bloque","C",4,1450,10,10,0.5
3,"Bloque","C",4,1500,7,13,0.65
3,"Bloque","C",4,1550,5,15,0.75
3,"Bloque","C",4,1600,4,16,0.8
3,"Bloque","C",5,1200,13,7,0.35
3,"Bloque","C",5,1250,11,9,0.45
3,"Bloque","C",5,1300,12,8,0.4
3,"Bloque","C",5,1350,12,8,0.4
3,"Bloque","C",5,1400,9,11,0.55
3,"Bloque","C",5,1450,9,11,0.55
3,"Bloque","C",5,1500,6,14,0.7
3,"Bloque","C",5,1550,3,17,0.85
3,"Bloque","C",5,1600,3,17,0.85
4,"Aleatoria","A",3,1550,20,0,0
4,"Aleatoria","A",3,1600,20,0,0
4,"Aleatoria","A",3,1650,13,7,0.35
4,"Aleatoria","A",3,1700,8,12,0.6
4,"Aleatoria","A",3,1750,6,14,0.7
4,"Aleatoria","A",3,1800,4,16,0.8
4,"Aleatoria","A",3,1850,5,15,0.75
4,"Aleatoria","A",3,1900,3,17,0.85
4,"Aleatoria","A",3,1950,0,20,1
4,"Aleatoria","A",4,1550,20,0,0
4,"Aleatoria","A",4,1600,18,2,0.1
4,"Aleatoria","A",4,1650,20,0,0
4,"Aleatoria","A",4,1700,12,8,0.4
4,"Aleatoria","A",4,1750,9,11,0.55
4,"Aleatoria","A",4,1800,5,15,0.75
4,"Aleatoria","A",4,1850,3,17,0.85
4,"Aleatoria","A",4,1900,2,18,0.9
4,"Aleatoria","A",4,1950,0,20,1
4,"Aleatoria","A",5,1550,20,0,0
4,"Aleatoria","A",5,1600,20,0,0
4,"Aleatoria","A",5,1650,17,3,0.15
4,"Aleatoria","A",5,1700,18,2,0.1
4,"Aleatoria","A",5,1750,10,10,0.5
4,"Aleatoria","A",5,1800,7,13,0.65
4,"Aleatoria","A",5,1850,4,16,0.8
4,"Aleatoria","A",5,1900,2,18,0.9
4,"Aleatoria","A",5,1950,1,19,0.95
4,"Bloque","A",3,1550,17,3,0.15
4,"Bloque","A",3,1600,19,1,0.05
4,"Bloque","A",3,1650,18,2,0.1
4,"Bloque","A",3,1700,18,2,0.1
4,"Bloque","A",3,1750,16,4,0.2
4,"Bloque","A",3,1800,15,5,0.25
4,"Bloque","A",3,1850,9,11,0.55
4,"Bloque","A",3,1900,6,14,0.7
4,"Bloque","A",3,1950,2,18,0.9
4,"Bloque","A",4,1550,20,0,0
4,"Bloque","A",4,1600,20,0,0
4,"Bloque","A",4,1650,19,1,0.05
4,"Bloque","A",4,1700,14,6,0.3
4,"Bloque","A",4,1750,10,10,0.5
4,"Bloque","A",4,1800,6,14,0.7
4,"Bloque","A",4,1850,1,19,0.95
4,"Bloque","A",4,1900,0,20,1
4,"Bloque","A",4,1950,2,18,0.9
4,"Bloque","A",5,1550,20,0,0
4,"Bloque","A",5,1600,18,2,0.1
4,"Bloque","A",5,1650,15,5,0.25
4,"Bloque","A",5,1700,15,5,0.25
4,"Bloque","A",5,1750,13,7,0.35
4,"Bloque","A",5,1800,6,14,0.7
