Folio,Género,Edad,Escuela,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15,ThetaBA,ThetaCon,ThetaDD
216,0,1,2,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,.95408219,1.1779282,1.3751917
217,0,0,2,1,2,1,2,1,2,3,1,3,1,3,2,2,2,1,-.67925137,.36349842,.23377024
218,0,1,2,3,0,0,1,3,2,3,1,3,3,3,2,3,1,3,1.5584854,1.1779282,-.50473809
219,0,2,2,3,2,0,0,0,0,3,1,1,0,3,0,2,1,0,-2.0075986,.696024,-1.4781533
220,0,1,2,3,2,2,1,2,1,2,1,2,2,2,1,2,2,1,.083516158,-.45984948,-.12857406
221,1,1,2,2,2,1,1,1,2,3,1,2,2,3,2,1,1,1,-.27041367,.25805777,-.19963144
222,0,1,2,1,1,,1,3,3,2,1,2,3,3,2,2,3,3,1.5584854,-.18310425,-.1876772
223,1,1,2,3,2,2,1,2,2,2,1,2,1,2,2,2,2,3,.13534772,-.45984948,.079921693
224,0,1,2,1,1,1,2,3,2,3,2,3,1,2,0,1,0,1,-.029486129,-.4808217,.25774986
225,1,1,2,3,1,2,2,1,3,3,0,3,1,3,3,3,3,1,-.67925137,1.1779282,.50150365
226,0,0,2,2,1,2,2,2,2,3,2,3,2,3,2,1,2,1,.083516158,.25805777,.78642613
227,0,1,2,3,1,0,0,1,1,3,0,1,1,3,1,3,2,1,-.67925137,1.1779282,-1.6966447
228,0,1,2,3,0,0,0,3,1,3,1,0,3,3,3,3,0,3,1.5584854,1.1779282,-.94670421
229,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,-.67925137,-1.0828118,-.39816651
230,1,1,2,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-.67925137,-.65491962,-.39816651
231,0,1,2,1,2,0,1,1,2,3,2,3,0,3,1,2,2,2,-.84011424,.36349842,-.34818912
232,0,1,2,2,1,2,1,0,3,1,1,2,0,1,1,0,0,0,-2.0075986,-1.527494,-.12857406
233,0,1,2,2,3,1,3,3,3,3,3,3,1,3,2,1,3,1,-.029486129,.25805777,1.2081721
234,1,1,2,3,1,1,0,3,3,3,0,0,1,3,1,1,1,1,-.029486129,.45528537,-1.267658
235,1,2,2,3,2,2,3,1,3,1,2,1,2,1,3,1,2,1,-.27041367,-1.3065718,1.2983682
236,0,0,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,1,.083516158,-1.104319,-.19963144
237,0,1,2,2,2,2,3,1,2,1,2,1,2,2,2,1,3,2,-.010361644,-.9803279,1.1026489
238,0,1,2,3,1,0,2,1,3,3,1,2,3,1,2,1,0,3,.66262567,-.65491962,-.029109702
239,1,1,2,3,1,1,1,2,2,3,1,2,1,3,3,3,1,1,-.31357718,1.1779282,-.083798051
240,0,1,2,3,3,2,2,3,2,2,3,0,2,2,1,2,3,3,.93433887,-.45984948,.90143162
241,1,1,2,2,0,1,1,2,1,2,2,3,2,3,1,2,0,2,.30029538,-.077705279,-.052051567
242,0,2,2,3,3,1,0,3,3,3,0,2,2,3,3,2,1,3,.93433887,.696024,-.97973675
243,1,1,2,2,1,0,0,2,1,2,0,1,3,3,1,2,1,2,.64843237,-.077705279,-1.6966447
244,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-.67925137,-1.3853794,-.39816651
245,0,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,-.42456412,-.81520921,-.12857406
246,0,0,2,3,2,2,2,2,2,2,2,2,2,3,0,3,3,2,.30029538,.33166075,.54034829
247,1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,2,1,1,-.27041367,-.6404233,-.12857406
248,1,1,2,3,3,0,1,1,2,2,2,2,2,2,1,1,1,2,-.010361644,-.63557416,-.34818912
249,1,2,2,3,0,0,0,1,2,3,2,2,1,3,1,1,2,3,-.25713354,.45528537,-.89149916
