Folio,Sexo,Edad,Escuela,P1,P2,P3,Psum,ThetaCR
626,1,1,5,0,0,0,0,-.38948628
627,0,1,5,0,0,0,0,-.38948628
628,1,1,5,0,0,0,0,-.38948628
629,1,2,5,0,0,0,0,-.38948628
630,1,1,5,0,0,0,0,-.38948628
631,1,1,5,0,0,0,0,-.38948628
632,1,1,5,0,0,1,1,.38204196
633,0,1,5,0,1,0,1,1.1835277
634,0,2,5,0,0,0,0,-.38948628
635,0,1,5,0,0,0,0,-.38948628
638,1,0,5,0,0,0,0,-.38948628
641,1,1,5,1,1,0,2,1.3746766
642,0,0,5,1,0,1,2,.64354634
643,1,0,5,1,0,1,2,.64354634
644,0,0,5,0,0,0,0,-.38948628
645,0,0,5,0,0,0,0,-.38948628
646,1,0,5,0,0,0,0,-.38948628
647,1,0,5,0,0,0,0,-.38948628
648,0,0,5,0,0,0,0,-.38948628
655,1,1,5,0,0,0,0,-.38948628
658,1,0,5,0,0,0,0,-.38948628
660,1,0,5,0,0,0,0,-.38948628
663,1,0,5,0,0,0,0,-.38948628
664,1,0,5,0,0,0,0,-.38948628
665,1,1,5,0,1,0,1,1.1835277
666,1,0,5,0,0,0,0,-.38948628
667,1,0,5,0,0,0,0,-.38948628
668,1,0,5,0,0,0,0,-.38948628
669,1,0,5,0,0,0,0,-.38948628
670,1,0,5,0,0,0,0,-.38948628
671,1,1,5,0,0,0,0,-.38948628
672,0,0,5,0,0,0,0,-.38948628
673,0,0,5,0,0,0,0,-.38948628
674,0,0,5,0,0,1,1,.38204196
675,1,0,5,0,0,0,0,-.38948628
676,0,0,5,0,0,0,0,-.38948628
677,1,1,5,0,0,0,0,-.38948628
678,0,0,5,0,0,0,0,-.38948628
679,0,0,5,0,0,0,0,-.38948628
680,0,0,5,0,0,0,0,-.38948628
681,1,0,5,0,0,0,0,-.38948628
682,1,0,5,0,0,0,0,-.38948628
683,1,0,5,0,0,0,0,-.38948628
684,1,0,5,0,0,0,0,-.38948628
685,1,0,5,0,0,0,0,-.38948628
688,1,0,5,0,0,0,0,-.38948628
689,0,0,5,0,0,0,0,-.38948628
690,0,0,5,0,0,0,0,-.38948628
