Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
490,270,n,True,471,20,False,224,True,247,False,2,False,18,1,1.651880026,0.150804043,0.401273966,pocos,2,under,1.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
491,432,n,False,471,21,False,224,False,247,False,2,True,19,1,2.046664,0.54599905,0.200770855,muchos,7,under,2_u2,senal,naranja,3 BS,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
492,273,n,True,472,21,False,224,True,248,False,2,False,19,1,1.65156889,0.150399923,0.601467848,pocos,3,under,1.5,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
493,53,s,True,473,21,True,225,False,248,False,2,False,19,6,2.654524803,1.153425932,0.300967932,pocos,3,over,2_o3,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
494,384,s,True,474,21,True,226,False,248,False,2,False,19,6,1.652498007,0.151437998,0.100471973,muchos,8,over,2_o3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
495,211,n,True,475,21,False,226,True,249,False,2,False,19,1,1.651648045,0.151364088,1.303071022,pocos,3,over,2.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
496,209,n,True,476,21,False,226,True,250,False,2,False,19,1,1.651041985,0.149886131,0.401074886,pocos,2,over,2.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
497,635,n,True,477,21,False,226,True,251,False,2,False,19,1,1.639938831,0.139631987,0.401121855,muchos,8,under,1,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
498,30,s,True,478,21,True,227,False,251,False,2,False,19,6,1.751523018,0.250371933,0.300905943,pocos,2,over,2_o2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
499,50,n,False,478,22,False,227,False,251,False,2,True,20,1,1.65192914,0.15062499,0.300930977,pocos,3,over,2_o3,senal,guinda,4 AS,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
500,181,n,True,479,22,False,227,True,252,False,2,False,20,1,1.65169692,0.150695086,0.701673985,pocos,2,under,3,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
501,49,s,True,480,22,True,228,False,252,False,2,False,20,5,2.754097939,1.252964973,0.70207715,pocos,3,over,2_o3,senal,guinda,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
502,604,n,True,481,22,False,228,True,253,False,2,False,20,1,1.652772903,0.151712894,0.40099597,muchos,7,over,1,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
503,243,n,True,482,22,False,228,True,254,False,2,False,20,1,1.651664972,0.150490999,0.300820112,pocos,2,over,1.5,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
504,570,n,True,483,22,False,228,True,255,False,2,False,20,1,1.652723074,0.151623964,0.300905943,muchos,7,over,1.5,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
505,394,s,True,484,22,True,229,False,255,False,2,False,20,6,1.653377056,0.152303934,0.80282712,muchos,8,over,2_o3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
506,380,s,True,485,22,True,230,False,255,False,2,False,20,6,1.652756929,0.151620865,0.400930882,muchos,8,over,2_o3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
